ObjectNumber,Likes
SK-C-214,19158
SK-A-2344,16641
SK-C-5,15061
SK-A-2382,7258
SK-A-268,7227
SK-A-2860,7059
SK-A-1718,6971
SK-A-799,6768
SK-A-4,6508
SK-A-3584,5746
SK-A-3262,5561
SK-A-4688,5288
SK-C-251,5058
SK-A-1505,4778
RP-T-1898-A-3499,4008
SK-A-2338,3568
SK-A-188,3553
SK-A-175,3337
SK-A-2099,3282
SK-A-3602,3255
SK-C-229,3154
SK-A-4691,2988
SK-C-216,2953
SK-A-4821,2885
SK-A-4830,2751
SK-C-199,2750
RP-T-FM-73,2747
SK-A-2102,2652
SK-A-1595,2620
SK-A-3064,2506
SK-A-4050,2396
SK-A-1105,2394
SK-C-301,2350
SK-C-211,2281
SK-A-5002,2256
RP-P-1912-2395,2254
SK-A-2103,2239
SK-A-1892,2168
SK-A-138,2152
SK-A-5003,2127
RP-P-1956-733,2090
SK-A-1848,2076
SK-A-3454,2070
RP-T-1898-A-3500,2019
SK-A-2293,2018
SK-A-3899,2005
SK-A-354,1985
SK-A-2443,1983
RP-T-1882-A-171,1862
SK-A-3580,1812
RP-T-1900-A-4433,1770
SK-A-1522,1718
SK-C-6,1698
RP-P-1999-548,1698
RP-T-1902-A-4578,1649
RP-T-1916-42,1639
SK-A-4226,1622
SK-A-5005,1603
RP-T-1879-A-15,1597
RP-P-OB-23.183,1589
BK-1963-101,1569
SK-C-597,1569
RP-T-1961-81,1556
SK-C-149,1542
SK-C-1672,1510
RP-T-FM-138,1482
SK-A-1463,1479
RP-T-1948-43,1465
SK-A-1115,1426
RP-T-1948-55,1415
SK-A-2152,1405
SK-A-3148,1397
SK-A-173,1385
SK-A-4118,1367
BK-NM-1010,1361
SK-A-1320,1354
SK-A-793,1344
SK-C-2,1319
RP-T-1884-A-437,1319
RP-F-1999-138,1307
SK-A-447,1301
BK-17496,1301
SK-A-133,1299
RP-T-1977-16,1291
AK-RAK-2009-3-3,1261
SK-A-372,1238
SK-A-336,1235
SK-A-3597,1218
SK-A-1703,1217
RP-T-1882-A-170,1203
RP-P-1952-183,1202
RP-T-1952-12,1191
SK-A-5033,1189
RP-T-1882-A-176,1180
RP-T-1884-A-330E,1179
SK-C-1768,1168
SK-A-3072,1162
BI-1887-1463-125B,1156
SK-A-335,1156
RP-T-1959-116,1151
SK-A-240,1145
RP-T-FM-105,1139
SK-A-1107,1139
RP-D-00-176,1131
SK-A-137,1101
RP-P-OB-67.519,1100
RP-P-OB-201.436,1095
SK-A-180,1070
SK-C-165,1061
RP-F-00-565,1055
SK-A-742,1052
SK-C-109,1042
RP-T-1882-A-173,1037
RP-P-2009-1921-1A,1035
SK-A-356,1030
SK-A-1013,1020
SK-A-4646,1018
SK-A-147,976
SK-A-407,973
SK-A-1935,971
RP-T-1957-340,966
SK-A-3290,957
RP-T-1967-87,951
RP-T-1899-A-4295,950
RP-T-1976-66,920
RP-T-1948-60,916
RP-P-2003-219,911
SK-A-3680,903
RP-T-1948-94,903
RP-T-1918-116,892
SK-A-267,890
SK-A-129,883
RP-P-1956-743,878
RP-T-1888-A-1510,869
SK-A-4989,867
RP-P-OB-6881,866
SK-A-385,838
SK-A-3276,836
SK-A-3089,835
SK-A-1546,834
SK-A-2264,834
SK-A-2329,832
RP-T-1950-266-39,827
SK-A-2895,826
SK-A-2291,826
SK-A-1451,819
RP-P-1999-550,806
RP-P-1999-553,806
SK-A-4839,797
SK-A-3916,791
SK-A-1891,791
SK-C-215,790
NG-MC-651,785
RP-P-BI-1418,783
RP-P-1956-754,780
RP-P-1999-381,778
SK-A-1365,777
RP-T-1904-406,777
SK-A-3011,776
RP-T-1949-43,776
RP-P-1965-798,771
RP-P-1999-375,767
AK-MAK-187,767
RP-P-OB-697,763
SK-C-131,762
SK-C-217,761
RP-T-1904-411,754
SK-A-772,749
SK-C-1368,748
SK-C-1707,748
SK-A-3989,744
RP-P-1999-380,739
SK-A-3066,734
RP-T-1943-81,730
SK-A-2525,728
SK-A-4674,727
SK-A-3907,726
SK-A-2879,712
SK-A-2670,711
RP-P-OB-60.028,709
SK-A-3138,708
SK-A-1065,705
RP-P-1994-51,704
SK-C-561,704
RP-T-1904-394,702
SK-A-4823,699
RP-T-1904-268,692
RP-T-1954-261,689
RP-T-1948-93,688
RP-P-1912-609,680
BK-16676,679
SK-C-1705,677
SK-A-2910,675
SK-A-128,667
BK-1980-773-B,664
SK-A-199,661
RP-T-1976-67,660
SK-A-15,649
SK-C-1645,646
BK-1978-247,646
SK-A-2226,645
SK-C-244,644
SK-A-3878,640
SK-A-169,639
RP-P-1903-A-24091,636
RP-P-OB-201.438,629
SK-A-2884,627
SK-C-155,626
SK-A-2858,623
RP-T-1948-101,620
SK-A-3247,618
RP-P-1955-276,614
SK-A-1328,614
SK-A-4885,614
SK-A-4090,613
SK-A-2549,610
RP-T-1948-61,606
SK-A-150,605
RP-T-1989-14(R),604
SK-A-4981,603
RP-P-OB-16.507,599
BK-1990-1,596
SK-A-2627,592
SK-A-5052,589
SK-A-1923,584
SK-A-135,584
RP-T-1948-115,583
SK-A-351,578
SK-A-500,575
RP-P-1992-105,573
SK-A-182,566
SK-A-3224,564
RP-T-1967-86,563
SK-A-771,560
BK-1994-28,558
AK-MAK-84,557
RP-P-1999-564,556
RP-P-1998-389,554
SK-A-4644,554
RP-P-H-L-52,553
SK-C-374,553
SK-A-794,551
RP-T-1952-380,548
SK-A-2815,546
RP-P-1991-506,546
RP-T-1897-A-3374,546
SK-A-3340,545
SK-A-3059,544
SK-A-317,543
SK-A-1857,538
RP-F-F80152,537
RP-T-1978-93(R),534
SK-A-3917,533
RP-P-1937-548,528
SK-A-2941,527
SK-A-3540,527
SK-A-22,525
RP-P-OB-62.364,525
SK-A-718,524
RP-P-1977-405,523
RP-P-1958-599,521
BK-1975-75,520
